block,SELL_UniswapV2,BUY_UniswapV2,SELL_Sakeswap,BUY_Sakeswap,SELL_Sushiswap,BUY_Sushiswap,SELL_Shebaswap,BUY_Shebaswap,SELL_Croswap,BUY_Croswap,MinBuy,MaxSell,profit
14175755,3227.136,3227.2168,2864.7248,3373.825,3220.2543,3220.3071,3230.5352,3230.6744,3221.5024,3222.3888,3220.3071,3230.5352,0.3176
14175790,3227.136,3227.2168,2864.7248,3373.825,3220.2543,3220.3071,3230.5352,3230.6744,3221.2173,3222.1037,3220.3071,3230.5352,0.3176
14175791,3227.136,3227.2168,2864.7248,3373.825,3220.2543,3220.3071,3230.5352,3230.6744,3221.2173,3222.1037,3220.3071,3230.5352,0.3176
14175791,3227.136,3227.2168,2864.7248,3373.825,3220.2543,3220.3071,3230.5352,3230.6744,3221.2173,3222.1037,3220.3071,3230.5352,0.3176
14175793,3227.136,3227.2168,2864.7248,3373.825,3220.2543,3220.3071,3230.5352,3230.6744,3221.2173,3222.1037,3220.3071,3230.5352,0.3176
14175815,3212.2791,3212.3597,2864.7248,3373.825,3211.2173,3211.2701,3217.5031,3217.6421,3221.2173,3222.1037,3211.2701,3221.2173,0.3098
14175818,3212.2791,3212.3597,2864.7248,3373.825,3211.2173,3211.2701,3217.5031,3217.6421,3221.2173,3222.1037,3211.2701,3221.2173,0.3098
14175818,3212.2791,3212.3597,2864.7248,3373.825,3211.2173,3211.2701,3217.5031,3217.6421,3221.2173,3222.1037,3211.2701,3221.2173,0.3098
14175821,3212.2791,3212.3597,2864.7248,3373.825,3211.2173,3211.2701,3217.5031,3217.6421,3221.2173,3222.1037,3211.2701,3221.2173,0.3098
14175822,3212.2791,3212.3597,2864.7248,3373.825,3211.2173,3211.2701,3217.5031,3217.6421,3221.2173,3222.1037,3211.2701,3221.2173,0.3098
14175822,3212.2791,3212.3597,2864.7248,3373.825,3211.2173,3211.2701,3217.5031,3217.6421,3221.2173,3222.1037,3211.2701,3221.2173,0.3098
14175823,3212.2791,3212.3597,2864.7248,3373.825,3211.2173,3211.2701,3217.5031,3217.6421,3221.2173,3222.1037,3211.2701,3221.2173,0.3098
14175826,3200.984,3201.0645,2864.7248,3373.825,3211.2173,3211.2701,3217.5031,3217.6421,3221.2173,3222.1037,3201.0645,3221.2173,0.6296
